date,hour,activity,workout,keywords,time,i0,i1,i2,i3,i4,i5,distance(km),climb(m),intensity,t-intensity,ahr,mhr,controls,spiked,rhr,sleep,weight(kg),injured,sick,restday,shoes,route,description,private note
2010-12-09,18,Yoga,,,01:15:00,,,,01:15:00,,,,,3.0,,,,,,,,,,,,barefoot - avojaloin,,,
2010-12-18,,cycling,,,00:30:00,,,00:30:00,,,,5.0,,2.0,,,,,,,,,,,,,,Bangkokissa kruisailua,
2010-12-19,,cycling,,,01:30:00,,,,01:30:00,,,45.0,,3.0,,,,,,,,,,,,,,Aamuajelu Chunphonista satamaan,
2010-12-20,,Running,long,,03:00:00,,,03:00:00,,,,15.0,,2.0,,,,,,,,,,,,,,Pkemminkin kävelyä Ko Taon saaren toiselle puolelle ja takaisin,
2010-12-21,,cycling,,,01:10:00,,,01:10:00,,,,26.0,,2.0,,,,,,,,,,,,,,Ko Samuilla satamasta Ban Lamaille,
2010-12-22,,cycling,,,03:20:00,,,,,03:20:00,,,,4.0,,,,,,,,,,,,,,Aika raakaa vetelyä Ko Samuin vuoristoteillä. ,
2010-12-23,,cycling,,,02:50:00,,,02:50:00,,,,60.0,,2.0,,,,,,,,,,,,,,Samuilta Don Sakiin ja Aava resortiin. Rullailua.,
2010-12-24,,cycling,,,04:20:00,,,04:20:00,,,,85.0,,2.0,,,,,,,,,,,,,,Jouluaattona pitkä ajo Khao Nanin kansallispuistoon,
2010-12-25,,cycling,,,04:40:00,,,04:40:00,,,,90.0,,2.0,,,,,,,,,,,,,,Joulupäivän Khiriwongiin. Hyvää rullailua,
2010-12-25,,cycling,,,04:20:00,,,,04:20:00,,,90.0,,3.0,,,,,,,,,,,,,,Pitkä ajo Khiriwongiin joulupäivänä,
2010-12-26,,Running,,,03:10:00,,,,03:10:00,,,15.0,,3.0,,,,,,,,,,,,,,Kävelyä/juoksua Khao Luang vuorelle. Noin reiluun tonniin ja takaisin reppu selässä. ,
2010-12-27,,cycling,,,04:20:00,,,,04:20:00,,,85.0,,3.0,,,,,,,,,,,,,,Khiriwongista Chandin kautta Thong Yangiin,
2010-12-28,,cycling,,,05:00:00,,,05:00:00,,,,85.0,,2.0,,,,,,,,,,,,,,Pitkä pätkä Krabiin. Tasasta jyristystä. Välillä hiittejä että saa pojista kuvia.,
2010-12-29,,cycling,,,04:10:00,,,04:10:00,,,,70.0,,2.0,,,,,,,,,,,,,,Krabista Ko Yao Noille ja Yaille. Harhailua ympäri saaria.,
2010-12-31,,Running,,,00:35:00,,,,00:35:00,,,6.0,,3.0,,,,,,,,,,,,,,Phuketissa juoksua jyrkillä teillä ja viidakkopoluilla. Ei kulje.,
2011-01-07,,cycling,,,01:30:00,,,,01:30:00,,,30.0,,3.0,,,,,,,,,,,,,,"Ilta-ajelu Bangkokissa. Tehot alhaalla, fiilis ylhäällä",
2011-01-14,,Running,,,00:20:00,,,,00:20:00,,,3.0,,3.0,,,,,,,,,,,,Brooks lenkkarit,,Aamulenkki. Eka juoksu sitten reissun ja sairastelun. Ja siltä tuntui.,
2011-01-16,20,Running,,,00:50:00,,,,00:50:00,,,9.0,,3.0,,,,,,,,,,,,Brooks lenkkarit,,Varovaista juoksua lumisateessa. Yllättävän hyvin kulki. Täytyy varovaisesti aloittaa liikkuminen.,
2011-01-17,19,Yoga,,,01:05:00,,,,01:05:00,,,,,3.0,,,,,,,,,,,,barefoot - avojaloin,,Kuukauden tauon jälkeen kunnon sarja. Mukavasti meni. Lihaskipuja odotellessa.,
2011-01-19,,Note,,,,,,,,,,,,,,,,,,,,,,,,,,Ankarat lihaskivut. Miten näin pienet lihakset voi olla näin kipiät?,
2011-01-20,,Running,,,01:05:00,,,,01:05:00,,,11.0,,3.0,,,,,,,,,,,,Brooks lenkkarit,,Takareidet edelleen tosi kipiät tiistain joogasta. Lisäksi sippasin puolen tunnin jälkeen. 10 minuuttia kävelyä ja taas kulku vaan parani loppua kohden,
2011-01-22,17,Running,,,01:35:00,,,,01:35:00,,,19.5,,3.0,,,,,,,,,,,,Brooks lenkkarit,,"Helsingin säät ovat juoksuharrastusta vastaan. Tänään kevyenliikenteenväylien muhkuraisen jää päälle satoi 8 senttiä pakkaslunta. Tavoite oli juosta Viikin ja Herttoniemen kautta ympäri 20 kilsaa. Eksyin Herttoniemessä pahasti (kiersin kehän). Metroasemalta itäväylän laidan pyörätie oli sekoitus suolaista muhjua ja pakkaslunta. Kello oli jo paljon ja otin metron kalasatamaan. Kestoltaan hyvä lenkki, vaikka liukastelu voi olla pahaksi askeleelle.",
2011-01-23,19,Running,,,00:20:00,,00:20:00,,,,,3.0,,1.0,,,,,,,,,,,,,,Hölkät ladulle ja takas,
2011-01-23,20,cross-country skiing,,,00:55:00,,,,00:55:00,,,13.0,,3.0,,,,,,,,,,,,,,Kauden eka hiihtolenkki. Luisteluhiihtoa. Hyvin kulki vaikka irtokoiria latu täynnä. Seuraava lenkki pertsaa. Mukaan pitovoidetta ja pippurisumutetta.,
2011-01-24,19,Yoga,,,01:10:00,,,,01:10:00,,,,,3.0,,,,,,,,,,,,barefoot - avojaloin,,"Viikonlopun harjoitteista paikat vähän kipeänä, etenkin varvas lauantain lumijuoksusta. Silti hyvä harjoitus.",
2011-01-26,20,Running,,,01:21:00,,,,01:21:00,,,18.0,,3.0,,,,,,,,,,,,Brooks lenkkarit,,Lauantain juoksulenkki uusintana. Nyt en eksynyt enkä tullut metrolla. Takareidet  joogasta kipeänä vielä ja pakkanen kiristyi -19 lenkin aikana ja vähän paleli. Pistelin sopivaa vauhtia.,
2011-01-28,20,Yoga,,,01:10:00,,,,01:10:00,,,,,3.0,,,,,,,,,,,,barefoot - avojaloin,,Oma setti mysoressa. Oli muita notkeampia.,
2011-01-29,11,Running,,,00:20:00,,,,00:20:00,,,3.0,,3.0,,,,,,,,,,,,,,Lenkki larulle,
2011-01-29,12,cross-country skiing,,,01:10:00,,,,01:10:00,,,17.0,,3.0,,,,,,,,,,,,,,Vöyrilla sato vettä. Stadissa pakkaskeli. Luisteluhiihto loppu tähän. Joutavaa. Joogasta jalat tohjona. Huomenna kelin salliessa pertsaa.,
2011-01-30,14,cross-country skiing,,,01:40:00,,,,01:40:00,,,25.0,,3.0,,,,,,,,,,,,,,"Perinteisen tyylin hiihtoa. Missä ladut ei ollut tuullu umpeen ne oli täynnä risuja ja männynkäpyjä. Pitoteippiin ne tarttu ja  loppu luisto. Muutenkin oli hankalaa, niin vielä tämä. Lopussa kädet oli niin poikki, etten ollut jaksaa kantaa sauvoja. Onneksi oli excelin täyshiilikuituavantit. Nivuskipuja odotellessa.",
2011-01-31,20,Yoga,,,01:10:00,,,,01:10:00,,,,,3.0,,,,,,,9.00,,,,,barefoot - avojaloin,,"Nivuskipu yltyi päivän mittaan, mutta joogavaatteet repussa veivät iltaharjoitukseen. Tietyt suunnat kireitä, muuten kevään paras harjoitus.",
2011-02-03,18,Yoga,,,01:15:00,,,,01:15:00,,,,,3.0,,,,,,,9.00,,,,,barefoot - avojaloin,,"Pari päivää meni nivuskipujen kanssa. Lipsuva pitkä pertsa (kauden eka) ja perään tiukka jooga on sellanen combo, ettei hetkeen tsaivailla. Työmatka tietty fillarilla täysiä ja taukojumpat kahvakuulalla. Mut niitä ei merkkailla kun tehdään kauluspaidassa.
Niin, hyvä joogaharjoitus. Mieli vaelsi, kroppa oli kuin veistos.",
2011-02-05,,Running,,,00:25:00,,,,00:25:00,,,5.0,,3.0,,,,,,,8.00,,,,,Brooks lenkkarit,,aamulenkki törkeän liukkailla teillä,
2011-02-05,,Yoga,,,00:15:00,,,00:15:00,,,,,,2.0,,,,,,,,,,,,barefoot - avojaloin,,Aurinkotervehdyksiä lenkin päälle,
2011-02-06,,Note,,,,,,,,,,,,,,,,,,,4.00,,,,,,,,
2011-02-07,16,kettlebell,,,00:45:00,,,,,00:45:00,,,,4.0,,,,,,,9.00,,,,,,,Painonnostoharjoittelua Munkkiniemessä. Tekniikkaharjoituksia kahvakuulailuun ja painonnostoliikkeissä. Ei mitään kyykkyjä vaan rinnallevetoja ja tempauksia. Täytynee ottaa liikkuvuusharjoituksina mukaan ohjelmaan. Tempaukset 32kg:n kahvakuulalla olivat teknisesti epäonnistuneita,
2011-02-09,19,Running,,,01:15:00,,,,01:15:00,,,16.0,,3.0,,,,,,,9.00,,,,,Brooks lenkkarit,,Kestävyysjuoksua. Painonnostosta perse jumissa. Haittasi liukkailla. Muuten vetävää menoa,
2011-02-10,17,Yoga,,,01:25:00,,,,01:25:00,,,,,3.0,,,,,,,8.00,,,,,barefoot - avojaloin,,Vähän perusteellisempi veto. Uusia mooveja ja opettaja väänsi. Huomenna kipiänä.,
2011-02-10,19,cycling,,,01:15:00,,,,01:15:00,,,25.0,,3.0,,,,,,,8.00,,,,,Bike: Rossano_9speed,,Päivän ajelut. Kannelmäessä palaverisssa kävin ni merkkasin. Aggressiivista tykitystä koko ajan.,
2011-02-11,,Running,,,00:25:00,00:25:00,,,,,,4.0,,0.0,,,,,,,9.00,,,,,Brooks lenkkarit,,iiltahumputtelu,
2011-02-12,13,Running,,,01:30:00,,,,01:30:00,,,18.0,,3.0,,,,,,,8.00,,,,,Brooks lenkkarit,,kestävyysjuoksu. viimenen kilsa uimahallille iso reppu seläsä. kulkeehan se. Uintia kilsa päälle. Vedin niin hiljaa ettei viissi merkitä. pitäis avata uus laji eikä sitä kuitenkaan tuu harrastettua.,
2011-02-13,20,foamroller,,,00:00:35,,,00:00:35,,,,,,2.0,,,,,,,8.00,,,,,,,"Aloitin rullailun. Alle kaks kilsaa juoksua ja sitten uutisvuodon verran rullailua. Kyllä kävi kipiää. Aiemmin päivällä kolmen tunnin kävely,muttei niitä lasketa. Aattelin silti kirjata tänne.",
2011-02-14,19,Yoga,,,01:10:00,,,,01:10:00,,,,,3.0,,,,,,,9.00,,,,,Brooks lenkkarit,,Pakkaspäivän jooga. Taisi olla salilla vähän viileämpi ku ei tullu yhtä hiki. Samoin venyvyys oli hivenen heikkoa. Fillarilla tuli enää harva vastaan.,
2011-02-15,,cycling,,,01:05:00,,,,,01:05:00,,22.0,,4.0,,,,,,,8.00,,,,,Bike: Rossano_9speed,,"Kun muut lomailee, niin täytyy kirjailla näitä päivittäisiä pyöräajeluja. Kolme kertaa paita märäksi fillarilla. Välissä treenit Pitäjänmäessä. Laulua ei viitti laittaa lajiksi vaikka keuhkoihin ottaakin.",
2011-02-17,18,Yoga,,,01:15:00,,,,01:15:00,,,,,3.0,,,,,,,8.00,,,,,barefoot - avojaloin,,"Meno oli jäykempää, johtunee kuupäivästä. <http://www.astanga.fi/kuu/> Moni asento jäi puolitiehen. Suunnistajat eivät taida ottaa tällaisia asioita  juurikaan harjoittelussaan huomioon.",
2011-02-18,,Note,,,,,,,,,,,,,,,,,,,8.00,,,,,,,,
2011-02-19,15,Running,,,01:26:00,,,,,01:26:00,,19.0,,4.0,,,,,,,9.00,,,,,Brooks lenkkarit,,"Kestävyysjuoksua peruslenkin http://maps.google.fi/maps/ms?ie=UTF8&hl=en&oe=UTF8&msa=0&msid=207760083899032652217.00049ac49ff0a043ef170&z=12 verran. Aikaisempi mittaus oli kilsan lyhyt, joten heitin nyt puoltoista kilsaa lisää ja paransin vähän vauhtia (intensity nyt 4). Pohkeissa tuntui jo ekan kympin jälkeen ja perse oli jäässä koko matkan. Loppua kohden kolotti vähän joka paikkaa, tuskallista olisi ollut jatkaa. Saattoi edellisillan vietto vähän painaa.. Alussa -16 palatessa -18. Liukasta on.",
2011-02-20,17,Yoga,,,01:15:00,,,,01:15:00,,,,,3.0,,,,,,,9.00,,,,,barefoot - avojaloin,,"Kroppa tuntui jumiselta eilisen juoksun jälkeen, mutta alkoi sulaa heti alusta. Hyvä rankka harjoitus. Ois se urheilu heleppoa jos kunto nousis vaan pitkillä kovilla juoksulenkeillä.",
2011-02-23,,Yoga,,,01:15:00,,,,01:15:00,,,,,3.0,,,,,,,10.00,,,,,barefoot - avojaloin,,Jooga. Huono harjotus. Jäykkä mieli ja kroppa.,
2011-02-24,,Running,,,00:15:00,,00:15:00,,,,,2.0,,1.0,,,,,,,8.00,,1,,,Brooks lenkkarit,,"Eka juoksu sitten lauantain pitkän lenkin. Silloin lenkin loppuvaiheessa oikean polven alapuolella, pohjeluun ja sääriluun nivelessä tuntui kipua. Haittasi kävelyä illalla, mutta häipyi. Pyöräily ja jooga ja normaali kävely ollut täysin kivutonta. Nyt juoksua 30 metriä ja armoton kipu jalkaan. Se on juoksutaukoa ja ""injured"".",
2011-02-26,,Yoga,,,00:20:00,,00:20:00,,,,,,,1.0,,,,,,,9.00,,,,,barefoot - avojaloin,,"aamujoogaa kotona. ei siitä mitään tullu.

Illalla Kotiharjun sauna. Kaks tuntia. Vois melkein laittaa kun harvoin tulee käytyä lihashuoltona varmasti toimii ja hiki tulee. Ja kilpaurheilua se saunominenkin on.",
2011-02-27,8,Yoga,,,01:10:00,,,,01:10:00,,,,,3.0,,,,,,,7.50,,,,,barefoot - avojaloin,,Aamun mysore salilla. Olipa kuin kala kuivalla maalla. Tästä pitää ottaa tapa. Parina aamuna viikolla. Aloitus on 05.30-07.00. Huh.,
2011-02-27,,cycling,,,00:55:00,,,,00:55:00,,,22.0,,3.0,,,,,,,,,,,,Bike: Rossano-fixed gear42*16,,"Puolasin uuden takakiekon vanhaan fiksinapaan, heitin vapaarattaisen syrjään, samoin vaihteet ja takaa jarrut.Alkaa voimaharjoittelu. Välitys 42*16. 

Lenkki meni auringonlaskun aikaan, alko jo viluttaa ja varpaat kylmetty tuossa ajassa. Hyvä lenkki muuten. Autokaistoja enimmäkseen kieli vyön alla.",
2011-02-27,16,cycling,,,00:00:55,,,,00:00:55,,,22.0,,3.0,,,,,,,,,,,,Bike: Rossano-fixed gear42*16,,"Puolasin uuden takakiekon vanhaan fiksinapaan, heitin vapaarattaisen syrjään, samoin vaihteet ja takaa jarrut.Alkaa voimaharjoittelu. Välitys 42*16. 

Lenkki meni auringonlaskun aikaan, alko jo viluttaa ja varpaat kylmetty tuossa ajassa. Hyvä lenkki muuten. Autokaistoja enimmäkseen kieli vyön alla.",
2011-03-01,7,Yoga,,,01:10:00,,,,01:10:00,,,,,3.0,,,,,,,7.00,,,,,barefoot - avojaloin,,mysore aamulla. Siinä on tekemisen meininkiä. Niskan seutua kiristää ja niska-hartiaseisonnan jälkeiset jutut jäi tekemättä. Muuten jo yllättävän joustavaa! Hieno fiilis olla yhdeksältä töissä kun on jo vuodattanut kaks litraa hikeä.,
2011-03-02,19,Running,,,00:20:00,,,00:20:00,,,,3.0,,2.0,,,,,,,7.50,,1,,,Brooks lenkkarit,,"No, oli aika kokeilla juoksua. Eka kilsa kivuitta, mutta sitten iski pakotus. Ihme vaiva. Hetken kun käveli, niin aina pystyi juosta sata metriä kivutta. Ei tunnu mitenkään pyöräillessä, portaissa, joogassa. Täytyy syödä lisää buranaa ja heittää hiihdoksi hetkeksi.",
2011-03-03,7,Yoga,,,01:15:00,,,,01:15:00,,,,,3.0,,,,,,,8.00,,,,,barefoot - avojaloin,,Aamujooga. Ihan mahtavata! Niskaa kiristää ja samoin oikeata iskiasta siltaharjoituksessa.,
2011-03-04,,cycling,,,00:50:00,,,,,00:50:00,,21.0,,4.0,,,,,,,7.00,,,,,Bike: Rossano-fixed gear42*16,,Tiukka lenkki räntäsateessa jäisillä teillä. Kuntoilija olisi jäänyt kotiin sohvalle.,
2011-03-05,9,Yoga,,,01:15:00,,,,01:15:00,,,,,3.0,,,,,,,7.50,,,,,barefoot - avojaloin,,"Aamujoogaa Annankadulla. Kroppa oli mukana, mutta mieli ei. Meni vähän väkiseksi, mutta mahtava olo jälkeen.",
2011-03-06,19,cross-country skiing,,,01:10:00,,,,01:10:00,,,12.0,,3.0,,,,,,,9.00,,,,,xc-ski - skating,,"Hiihtoa pitkästä aikaa. Pimeillä laduilla mukava vedellä skeittiä. Mukavaa koska ei koiria joka mutkassa. Hyvin kulki, täytyy ottaa ohjelmaan kun jalka ei tykkää juoksemisesta.",
2011-03-06,18,Running,,,00:00:15,,,,00:00:15,,,3.0,,3.0,,,,,,,,,1,,,,,Juoksut ladulle ja takas. Vähän palatessa tuntui taas jalassa. Outo kipu,
2011-03-07,8,Yoga,,,01:10:00,,,,01:10:00,,,,,3.0,,,,,,,7.00,,,,,barefoot - avojaloin,,"Joogaa Annankadulla. Hiihto tuntui vähän etenkin hartioissa, mutta muuten aika joustava. Sain ekaa kertaa takaperinkuperkeikan ilman avustusta. Kolmen vuoden intensiivisen harjoittelun jälkeen.",
2011-03-09,7,Yoga,,,01:15:00,,,,01:15:00,,,,,3.0,,,,,,,7.00,,,,,barefoot - avojaloin,,"Aamujooga. Oli vähän vaikeuksia herätä ja uni oli huonoa. Voimistelu sen mukaista, mutta olo jälkeenpäin silti aika mahtava.",
2011-03-09,19,Running,,,00:20:00,,,00:20:00,,,,4.0,,2.0,,,,,,,,,1,,,Brooks lenkkarit,,"Ekat kolme kilsaa tuntui että nyt on jalka vihdoin kunnossa ja koko kroppa oli puolet kengurua ja toinen gasellia. Miltei kotitalon jo näkyessä alkoi kolottaa ja sadan metrin matkalla taas äityi melko pahaksi. Kyllä sillä maaliian asti juoksi, mutta pidempää ei olisi viitsinyt. Ihme vaiva.",
2011-03-09,20,foamroller,,,00:25:00,,00:25:00,,,,,,,1.0,,,,,,,,,,,,,,"Rullailua juoksun päätteeksi. Teoria rullailun ja jalkavaivan yhteydestä sai tukea. Pohkeita runnoessa juuri kipukohdassa (jalan yläpuolella) tuntui kipua ja natinaa. Eli rajusti lisää rullailua ja kyllä se siitä ajan kanssa rauhoittuu. Billnäsin keskimatkan perumiseen on kaksi viikkoa aikaa, joten aikaa on.",
2011-03-10,19,cycling,,,00:45:00,,,,00:45:00,,,16.0,,3.0,,,,,,,8.00,,,,,,,Kotia töistä kiertotietä. Pujottelin autojen ohi sellaista 45-55km/h valtaosan matkasta.,
2011-03-11,7,Yoga,,,01:15:00,,,,01:15:00,,,,,3.0,,,,,,,7.00,,,,,barefoot - avojaloin,,Aamujoogaa Kalliossa. Tosijoogeilla perjantain harjoitus päättää sunnuntaina alkavan treeniviikon ja on aina ankein ja kankein. Mulla oli sama juttu. Mutta tulipahan tehtyä,
2011-03-12,11,cross-country skiing,,,02:05:00,,,,02:05:00,,,30.0,,3.0,,,,,,,8.00,,,,,xc-ski - skating,,Arabiasta jokivartta Haltialaan ja Paloheinän seiska päälle. Vesikeli ja tälli oli karkean. Imi. Muuten yhtä rankkaa ku simun pelaaminen. Tässä vaan sippaa ku ei voi samalla syyä sipsejä. Huomenna lisää.,
2011-03-13,16,cross-country skiing,,,01:20:00,,,,01:20:00,,,22.5,,3.0,,,,,,,8.00,,,,,xc-ski - skating,,Taas hiihtämässä. Sata kilsaa rikki. Eilinen lenkki ja illan menot vähän paino. Meno kuitenkin parani kunnes kolmen lenkin jälkeen armoton nälkä. Lounas unohtu ku tein vetun sivuja. Kioski oli kiinni ja pakko oli hypätä bussiin. ,
2011-03-13,21,foamroller,,,00:20:00,,00:20:00,,,,,,,1.0,,,,,,,,,1,,,,,Rullailua hiihtolenkin päätteeksi. Kyllä käy kipiää.,
2011-03-14,17,Yoga,,,01:15:00,,,,01:15:00,,,,,3.0,,,,,,,7.00,,,,,barefoot - avojaloin,,Iltajoogaa. Aamujooga on tepsinyt kun senttejä on tullut lisää ja paljon. Siistiä!,
2011-03-15,,cycling,,,00:55:00,,,,00:55:00,,,23.0,,3.0,,,,,,,8.50,,,,,Bike: Rossano-fixed gear42*16,,Normaalien päivittäisajelujen päälle 20 kilsaa pitäjänmäkeen ja takas. Siinä välissä kuorolaulua niin että hiki virtas.,
2011-03-16,7,Yoga,,,01:10:00,,,,01:10:00,,,,,3.0,,,,,,,6.50,,,,,barefoot - avojaloin,,Taas pudottiin maan pinnalle. Varpaat oli senttiä 15 kauempana kuin maanantaina ja joka paikkaa vähän kolotti. Mutta sinnikkäästi vaan vein harjotuksen loppuun. Kyllä tämä vielä lähivuosina palkitaan ja tietysti heti treenin jälkeen ihan mahtava olo.,
2011-03-17,20,cross-country skiing,,,01:23:00,,,,,01:23:00,,26.0,,4.0,,,,,,,8.50,,,,,xc-ski - skating,,"Meni kaheksaan ennen kuin pääsin ladulle, mutta sitten olikin tilaa päästellä. 3*7,5km ja kerran 3. Eka 23min, toka 24 ja kolmas hissutellen 26 ja loppuun vielä kolmonen ja vähän lisää. Lentokeli ja hyvin jyrsitty rata. Saas nähdä miten lähtee jooga aamulla.",
2011-03-18,16,Yoga,,,01:15:00,,,,01:15:00,,,,,3.0,,,,,,,5.00,,,,,barefoot - avojaloin,,Ei pystynyt aamulla joogaan kun tärisin hiihtolenkin jälkeen jonnekin aamukolmeen sängyssä. Otti terveyden päälle. Multa iltapäivällä hyvä harjoitus. Helppo lähteä laulamaan viikonlopuksi.,
2011-03-20,,Note,,,,,,,,,,,,,,,,,,,7.00,,,,,,,"Ois ollu hirveä hinku lenkille, mutta pidin pääni enkä lähtenyt. Aamulla joogaan ja toivottavasti juoksuharjoittelua mukaan kuvioihin ensi viikolla",
2011-03-21,7,Yoga,,,01:15:00,,,,01:15:00,,,,,3.0,,,,,,,7.00,,,,,barefoot - avojaloin,,Aamujoogaaa. Niin se vaan kuorolaulu jäykistää. Lapaluun takaa niksahti ja nyt joutuu pää vinossa kattoa koneen ruutua. Muuten hyvä harjoitus. Herääminen helvettiä.,
2011-03-21,20,Running,,,00:20:00,,,,00:20:00,,,4.0,,3.0,,,,,,,,,1,,,Brooks lenkkarit,,Kyllä se jalka vaan tuli kipeeksi ihan sata metriä kotiovelta (palatessa). Mitähän tähän keksis? Täytyy nukkua yön yli ja tehdä suunnitelma.,
2011-03-23,,Yoga,,,01:15:00,,,,01:15:00,,,,,3.0,,,,,,,7.50,,,,,barefoot - avojaloin,,"Maanantaina niskahtanut selkä vaivasi vielä illalla, mutta joogassa ei ollut haittaa. Herääminen oli hankalaa ja vähän alavire. Mut perussetti 1.15 vääntöä ja rentoutukset päälle.",
2011-03-25,7,Yoga,,,01:20:00,,,,01:20:00,,,,,3.0,,,,,,,6.50,,,,,barefoot - avojaloin,,"Ihan loistava harjoitus. Aamujoustoja alkaa löytymään ja hemmetin energinen olo. Nyt kovaa hiihtoa vkonloppu ja maanantaina katsotaan miten on paikat jumissa.
Ja on tässä tullut ajeltua fillarilla vähän normaalia pidempiä siivuja TÄYSIÄ joka päivä, että tehoja on ollut myös hengitys- ja verenkierron puolella. Niin on pitkiä päiviä työmaalla että sinne hierontaan ei taho kerjetä.",
